id,authors,original_title,title,language_code
327,Marie Lu,Legend,"Legend (Legend, #1)",eng
328,Jodi Picoult,Nineteen Minutes,Nineteen Minutes,eng
329,"Randy Pausch, Jeffrey Zaslow",The Last Lecture,The Last Lecture,eng
330,Robert Jordan,The Eye of the World,"The Eye of the World (Wheel of Time, #1)",eng
331,Jodi Picoult,The Pact,The Pact,en-US
332,C.S. Lewis,The magician's nephew,"The Magician's Nephew (Chronicles of Narnia, #6)",eng
333,Lisa Genova,Still Alice,Still Alice,eng
334,Sylvia Day,Reflected in You,"Reflected in You (Crossfire, #2)",eng
335,"Roald Dahl, Quentin Blake",James and the Giant Peach,James and the Giant Peach,eng
336,James Patterson,1st To Die,"1st to Die (Women's Murder Club, #1)",en-US
337,Douglas Adams,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,The Ultimate Hitchhiker's Guide to the Galaxy,eng
338,David Nicholls,One Day,One Day,eng
339,"Margaret Wise Brown, Clement Hurd",,Goodnight Moon,en-US
340,Pittacus Lore,I Am Number Four,"I Am Number Four (Lorien Legacies, #1)",en-US
341,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",Ἰλιάς,The Iliad,eng
342,J.K. Rowling,The Casual Vacancy,The Casual Vacancy,eng
343,John Grisham,The Runaway Jury,The Runaway Jury,eng
344,David Sedaris,Naked,Naked,en-US
345,Christopher Paolini,Eldest,"Eldest (The Inheritance Cycle, #2)",en-US
346,"L. Frank Baum, W.W. Denslow",The Wonderful Wizard of Oz,"The Wonderful Wizard of Oz (Oz, #1)",eng
347,C.S. Lewis,Prince Caspian: The Return to Narnia,"Prince Caspian (Chronicles of Narnia, #2)",eng
348,E. Lockhart,We Were Liars,We Were Liars,eng
349,Stephen King,Salem's Lot,'Salem's Lot,en-GB
350,"Hunter S. Thompson, Ralph Steadman",Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Fear and Loathing in Las Vegas,eng
351,Cassandra Clare,Clockwork Prince,"Clockwork Prince (The Infernal Devices, #2)",eng
352,Amy Poehler,Yes Please,Yes Please,eng
353,William Shakespeare,"The Tragedy of Othello, The Moor of Venice",Othello,eng
354,Toni Morrison,Beloved,Beloved,eng
355,Kristin Cashore,Graceling,"Graceling (Graceling Realm, #1)",en-CA
356,"Lemony Snicket, Brett Helquist",The Bad Beginning,"The Bad Beginning (A Series of Unfortunate Events, #1)",eng
357,"Erich Maria Remarque, A.W. Wheen",Im Westen nichts Neues,All Quiet on the Western Front,en-US
358,Dr. Seuss,"Oh, the Places You'll Go!","Oh, The Places You'll Go!",en-US
359,Khaled Hosseini,And The Mountains Echoed,And the Mountains Echoed,eng
360,"Philip K. Dick, Roger Zelazny",Do Androids Dream of Electric Sheep?,Do Androids Dream of Electric Sheep?,eng
361,"Charles Dickens, George Cruikshank, Philip Horne",Oliver Twist,Oliver Twist,eng
362,C.S. Lewis,A Grief Observed,The Screwtape Letters,eng
363,Stephanie Perkins,Anna and the French Kiss,"Anna and the French Kiss (Anna and the French Kiss, #1)",en-US
364,Dr. Seuss,How the Grinch Stole Christmas!,How the Grinch Stole Christmas!,eng
365,"Alan Moore, David   Lloyd",V for Vendetta,V for Vendetta,eng
366,David McCullough,John Adams,John Adams,eng
367,Dean Koontz,Odd Thomas,"Odd Thomas (Odd Thomas, #1)",eng
368,Philip Pullman,The Subtle Knife,"The Subtle Knife (His Dark Materials, #2)",eng
369,Jerry Spinelli,Stargirl,"Stargirl (Stargirl, #1)",eng
370,Rick Riordan,The Red Pyramid,"The Red Pyramid (Kane Chronicles, #1)",eng
371,Robert A. Heinlein,Stranger in a Strange Land,Stranger in a Strange Land,eng
372,David Sedaris,Dress Your Family in Corduroy and Denim,Dress Your Family in Corduroy and Denim,eng
373,"Roald Dahl, Quentin Blake",The BFG,The BFG,eng
374,Bill Bryson,A Short History of Nearly Everything,A Short History of Nearly Everything,en-US
375,Jack London,The Call of the Wild,The Call of the Wild,eng
376,James Dashner,The Death Cure,"The Death Cure (Maze Runner, #3)",eng
377,Neil Gaiman,Stardust,Stardust,eng
378,Jhumpa Lahiri,The Namesake,The Namesake,en-US
379,Deborah Harkness,A Discovery of Witches,"A Discovery of Witches (All Souls Trilogy, #1)",eng
380,"Haruki Murakami, Jay Rubin",ノルウェイの森 [Noruwei no Mori],Norwegian Wood,eng
381,Billie Letts,Where the Heart Is,Where the Heart Is,en-US
382,"John Green, David Levithan","Will Grayson, Will Grayson","Will Grayson, Will Grayson",eng
383,James Frey,A Million Little Pieces,A Million Little Pieces,en-CA
384,Richelle Mead,Frostbite,"Frostbite (Vampire Academy, #2)",eng
385,Susan Cain,Quiet: The Power of Introverts in a World that Can't Stop Talking,Quiet: The Power of Introverts in a World That Can't Stop Talking,eng
386,Scott O'Dell,Island of the Blue Dolphins,"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",en-CA
387,"Arthur Miller, Christopher Bigsby",The Crucible,The Crucible,eng
388,Gary Paulsen,Hatchet,"Hatchet (Brian's Saga, #1)",en-US
389,Brandon Sanderson,Mistborn : The Final Empire,"The Final Empire (Mistborn, #1)",eng
390,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",The Strange Case of Dr Jekyll and Mr Hyde,The Strange Case of Dr. Jekyll and Mr. Hyde,eng
391,Dr. Seuss,The Lorax,The Lorax,eng
392,Jeff Kinney,Greg Heffley's Journal,"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",en-US
393,Sarah J. Maas,Throne of Glass,"Throne of Glass (Throne of Glass, #1)",eng
394,Richelle Mead,Shadow Kiss,"Shadow Kiss (Vampire Academy, #3)",en-US
395,Ernest Hemingway,For Whom the Bell Tolls,For Whom the Bell Tolls,eng
396,Jamie Ford,Hotel on the Corner of Bitter and Sweet,Hotel on the Corner of Bitter and Sweet,eng
397,"Patrick Süskind, John E. Woods",Das Parfum. Die Geschichte eines Mörders,Perfume: The Story of a Murderer,eng
398,Eric Schlosser,Fast Food Nation : The Dark Side of the All-American Meal ,Fast Food Nation: The Dark Side of the All-American Meal,eng
399,J.K. Rowling,The Tales of Beedle the Bard,The Tales of Beedle the Bard,en-US
400,William Gibson,Neuromancer,Neuromancer,eng
401,Ernest Hemingway,A Farewell to Arms,A Farewell to Arms,en-US
402,Edgar Allan Poe,The Tell-Tale Heart,The Tell-Tale Heart and Other Writings,en-GB
403,"Sun Tzu, Thomas Cleary",孫子兵法 [Sūnzi bīngfǎ],The Art of War,eng
404,William Landay,Defending Jacob,Defending Jacob,eng
405,Kurt Vonnegut Jr.,Breakfast of Champions,Breakfast of Champions,eng
406,Betty Edwards,Drawing on the Right Side of the Brain,The New Drawing on the Right Side of the Brain,en-US
407,Ann Patchett,Bel Canto,Bel Canto,eng
408,Jared Diamond,"Guns, Germs, and Steel: The Fates of Human Societies","Guns, Germs, and Steel: The Fates of Human Societies",eng
409,Fannie Flagg,Fried Green Tomatoes at the Whistle Stop Cafe,Fried Green Tomatoes at the Whistle Stop Cafe,
410,Chinua Achebe,Things Fall Apart,"Things Fall Apart (The African Trilogy, #1)",en-US
411,Sophie Kinsella,The Undomestic Goddess,The Undomestic Goddess,eng
412,Gary Chapman,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,en-US
413,Alexandre Dumas,Les Trois Mousquetaires,The Three Musketeers,
414,Chris Cleave,The Other Hand,Little Bee,en-US
415,Alyson Noel,Evermore,"Evermore (The Immortals, #1)",en-US
416,"Roald Dahl, Quentin Blake",The Witches,The Witches,en-US
417,Diane Setterfield,The Thirteenth Tale,The Thirteenth Tale,eng
418,Richelle Mead,Spirit Bound,"Spirit Bound (Vampire Academy, #5)",eng
419,Richelle Mead,Blood Promise,"Blood Promise (Vampire Academy, #4)",en-US
420,Nicholas Sparks,Message in a Bottle,Message in a Bottle,en-US
421,Paula McLain,The Paris Wife,The Paris Wife,eng
422,J.K. Rowling,Complete Harry Potter Boxed Set,"Harry Potter Boxset (Harry Potter, #1-7)",eng
423,Kiera Cass,The Elite,"The Elite (The Selection, #2)",eng
424,"Umberto Eco, William Weaver, Seán Barrett",Il nome della rosa,The Name of the Rose,en-US
425,"Beatrice Sparks, Anonymous",Go Ask Alice,Go Ask Alice,eng
426,"John Kennedy Toole, Walker Percy",A Confederacy of Dunces,A Confederacy of Dunces,eng
427,Oscar Wilde,The Importance of Being Earnest,The Importance of Being Earnest,eng
428,Rick Riordan,The Mark of Athena,"The Mark of Athena (The Heroes of Olympus, #3)",eng
429,Terry Pratchett,The Colour of Magic,"The Color of Magic (Discworld, #1; Rincewind #1)",eng
430,"Haruki Murakami, Philip Gabriel",海辺のカフカ [Umibe no Kafuka],Kafka on the Shore,en-US
431,Thomas Harris,Red Dragon,"Red Dragon (Hannibal Lecter, #1)",eng
432,Isaac Asimov,"I, Robot","I, Robot (Robot #0.1)",eng
433,J.R. Ward,Dark Lover,"Dark Lover (Black Dagger Brotherhood, #1)",eng
434,Becca Fitzpatrick,Crescendo,"Crescendo (Hush, Hush, #2)",en-US
435,Lauren Oliver,Before I Fall,Before I Fall,eng
436,Arundhati Roy,The God of Small Things,The God of Small Things,eng
437,Sue Monk Kidd,The Invention of Wings,The Invention of Wings,en-US
438,Liane Moriarty,What Alice Forgot,What Alice Forgot,eng
439,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",A Brief History of Time: From the Big Bang to Black Holes,A Brief History of Time,eng
440,Ken Follett,Fall of Giants,"Fall of Giants (The Century Trilogy, #1)",eng
441,Stephen King,Under the Dome,Under the Dome,eng
442,Neal Stephenson,Snow Crash,Snow Crash,eng
443,Sarah Dessen,Just Listen,Just Listen,en-US
444,"A.A. Milne, Ernest H. Shepard",Winnie-the-Pooh,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",eng
445,S.J. Watson,Before I Go to Sleep,Before I Go to Sleep,en-CA
446,Arthur Conan Doyle,A Study in Scarlet,A Study in Scarlet,eng
447,Christopher Paolini,Brisingr,"Brisingr (The Inheritance Cycle, #3)",eng
448,Rick Warren,The Purpose Driven Life: What on Earth am I Here For?,The Purpose Driven Life: What on Earth Am I Here for?,en-US
449,"P.C. Cast, Kristin Cast",Betrayed: a House of Night Novel,"Betrayed (House of Night, #2)",en-US
450,Jim Butcher,Storm Front,"Storm Front (The Dresden Files, #1)",en-US
451,"Jane Austen, Alfred MacAdam",Northanger Abbey,Northanger Abbey,eng
452,Rick Yancey,The 5th Wave,"The 5th Wave (The 5th Wave, #1)",eng
453,Charles Frazier,Cold Mountain,Cold Mountain,en-US
454,"Laura Joffe Numeroff, Felicia Bond",If You Give a Mouse a Cookie,If You Give a Mouse a Cookie,en-US
455,Emily Giffin,Something Blue,"Something Blue (Darcy & Rachel, #2)",en-US
456,Tennessee Williams,A Streetcar Named Desire,A Streetcar Named Desire,eng
457,Elizabeth Kostova,The Historian,The Historian,eng
458,Emily St. John Mandel,Station Eleven,Station Eleven,eng
459,"Fredrik Backman, Henning Koch",En man som heter Ove,A Man Called Ove,eng
460,Cassandra Clare,Clockwork Princess,"Clockwork Princess (The Infernal Devices, #3)",eng
461,Pearl S. Buck,The Good Earth,"The Good Earth (House of Earth, #1)",eng
462,John Berger,Ways of Seeing,Ways of Seeing,eng
463,Diana Gabaldon,Dragonfly in Amber,"Dragonfly in Amber (Outlander, #2)",eng
464,Anonymous,,Holy Bible: King James Version,eng
465,Jennifer Weiner,In Her Shoes,In Her Shoes,
466,"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",The Hobbit,The Hobbit: Graphic Novel,eng
467,Junot Díaz,The Brief Wondrous Life of Oscar Wao,The Brief Wondrous Life of Oscar Wao,eng
468,Zora Neale Hurston,Their Eyes Were Watching God,Their Eyes Were Watching God,eng
469,"Newt Scamander, J.K. Rowling, Albus Dumbledore",Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,eng
470,"Malala Yousafzai, Christina Lamb",I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,eng
471,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",Mansfield Park,Mansfield Park,eng
472,Viktor E. Frankl,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,Man's Search for Meaning,eng
473,Tana French,In the Woods,"In the Woods (Dublin Murder Squad, #1)",eng
474,Richard Dawkins,The God Delusion,The God Delusion,eng
475,Gayle Forman,Where She Went,"Where She Went (If I Stay, #2)",en-US
476,John Irving,The World According to Garp,The World According to Garp,eng
477,Lee Child,Killing Floor,"Killing Floor (Jack Reacher, #1)",eng
478,"Daniel Defoe, Gerald McCann, Virginia Woolf","The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",Robinson Crusoe,eng
479,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",Il Principe,The Prince,eng
480,Philip Pullman,The Amber Spyglass,"The Amber Spyglass (His Dark Materials, #3)",eng
481,Terry Goodkind,Wizard's First Rule,"Wizard's First Rule (Sword of Truth, #1)",eng
482,Kathleen Grissom,The Kitchen House,The Kitchen House,en-CA
483,J.D. Salinger,Franny and Zooey,Franny and Zooey,en-US
484,Chuck Palahniuk,Choke,Choke,eng
485,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",Братья Карамазовы,The Brothers Karamazov,eng
486,Jeanne DuPrau,The City of Ember,"The City of Ember (Book of Ember, #1)",eng
487,Michael Crichton,The Andromeda Strain,The Andromeda Strain,
488,Stephen King,The Green Mile,The Green Mile,eng
489,Kahlil Gibran,The Prophet,The Prophet,eng
490,Art Spiegelman,Maus: A Survivor's Tale : My Father Bleeds History,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",eng
491,"P.C. Cast, Kristin Cast",Untamed: A House of Night Novel,"Untamed (House of Night, #4)",en-US
492,Orson Scott Card,Speaker for the Dead,"Speaker for the Dead (Ender's Saga, #2)",en-US
493,C.S. Lewis,Mere Christianity,Mere Christianity,eng
494,Donna Tartt,The Secret History,The Secret History,eng
495,Dave Eggers,A Heartbreaking Work of Staggering Genius,A Heartbreaking Work of Staggering Genius,eng
496,Jean M. Auel,The Clan of the Cave Bear,"The Clan of the Cave Bear (Earth's Children, #1)",eng
497,Anna Sewell,Black Beauty,Black Beauty,eng
498,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",Война и миръ,War and Peace,eng
499,Bret Easton Ellis,American Psycho,American Psycho,eng
500,Meg Cabot,The Princess Diaries,"The Princess Diaries (The Princess Diaries, #1)",eng
501,Alexander McCall Smith,The No. 1 Ladies' Detective Agency ,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",eng
502,"Robert Kirkman, Tony Moore","The Walking Dead, Vol. 1: Days Gone Bye","The Walking Dead, Vol. 01: Days Gone Bye",en-GB
503,Arthur C. Clarke,2001: A Space Odyssey,"2001: A Space Odyssey (Space Odyssey, #1)",eng
504,Francine Rivers,,Redeeming Love,eng
505,"Tim LaHaye, Jerry B. Jenkins",Left Behind:  A Novel of the Earth's Last Days,"Left Behind (Left Behind, #1)",eng
506,Kiera Cass,The One,"The One (The Selection, #3)",eng
507,Suzanne Collins,The Hunger Games Box Set,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",eng
508,Barbara Ehrenreich,Nickel and Dimed: On (Not) Getting By in America,Nickel and Dimed: On (Not) Getting By in America,eng
509,Sophie Kinsella,Remember Me?,Remember Me?,eng
510,Robert Jordan,The Great Hunt,"The Great Hunt (Wheel of Time, #2)",en-US
511,Patricia Cornwell,Post-Mortem:  A Mystery Introducing Dr. Kay Scarpetta,"Postmortem (Kay Scarpetta, #1)",eng
512,Edgar Allan Poe,The Complete Tales of Edgar Allan Poe,The Complete Stories and Poems,en-US
513,"Corrie ten Boom, John Sherrill, Elizabeth Sherrill",The Hiding Place,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,en-US
514,Arthur Conan Doyle,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,eng
515,Pat Conroy,The Prince of Tides,The Prince of Tides,eng
516,Michael Chabon,The Amazing Adventures of Kavalier & Clay,The Amazing Adventures of Kavalier & Clay,eng
517,Simone Elkeles,Perfect Chemistry,"Perfect Chemistry (Perfect Chemistry, #1)",eng
518,"J.M. Barrie, Michael Hague",Peter Pan,Peter Pan,en-US
519,Scott Westerfeld,Pretties,"Pretties (Uglies, #2)",eng
520,"Haruki Murakami, Jay Rubin",ねじまき鳥クロニクル [Nejimakidori kuronikuru],The Wind-Up Bird Chronicle,eng
521,Michael Connelly,The Lincoln Lawyer ,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",eng
522,David Mitchell,Cloud Atlas,Cloud Atlas,eng
523,Tim O'Brien,The Things They Carried,The Things They Carried,en-US
524,Banksy,Wall and Piece,Wall and Piece,eng
525,Lauren Oliver,Pandemonium,"Pandemonium (Delirium, #2)",eng
526,Jeff Lindsay,Darkly Dreaming Dexter,"Darkly Dreaming Dexter (Dexter, #1)",eng
527,Charlaine Harris,Living Dead in Dallas,"Living Dead in Dallas (Sookie Stackhouse, #2)",eng
528,Robert Jordan,The Dragon Reborn ,"The Dragon Reborn (Wheel of Time, #3)",eng
529,"Jonathan Swift, Robert DeMaria Jr.",Gulliver’s Travels,Gulliver's Travels,eng
530,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Gail Kern Paster, Robert          Jackson",Much Ado About Nothing,Much Ado About Nothing,eng
531,"Unknown, Seamus Heaney",Beowulf,Beowulf,en-US
532,"Frank Miller, David Mazzucchelli, Richmond Lewis, Dennis O'Neil",Batman: Year One,Batman: Year One,eng
533,Harper Lee,Go Set a Watchman,Go Set a Watchman,eng
534,David Sedaris,When You Are Engulfed in Flames,When You Are Engulfed in Flames,en-US
535,Laini Taylor,Daughter of Smoke & Bone,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",eng
536,Victoria Aveyard,Red Queen,"Red Queen (Red Queen, #1)",eng
537,Charles Duhigg,The Power of Habit,The Power of Habit: Why We Do What We Do in Life and Business,eng
538,John Berendt,Midnight in the Garden of Good and Evil,Midnight in the Garden of Good and Evil,eng
539,Colleen Hoover,Hopeless,"Hopeless (Hopeless, #1)",eng
540,"Frances Hodgson Burnett, Nancy Bond",A Little Princess,A Little Princess,eng
541,Sarah Dessen,The Truth About Forever,The Truth About Forever,en-US
542,C.S. Lewis,The horse and his boy,"The Horse and His Boy (Chronicles of Narnia, #5)",eng
543,Richelle Mead,Last Sacrifice ,"Last Sacrifice (Vampire Academy, #6)",eng
544,"Laura Ingalls Wilder, Garth Williams",Little House on the Prairie,"Little House on the Prairie (Little House, #2)",eng
545,"Margery Williams Bianco, William   Nicholson",The Velveteen Rabbit,The Velveteen Rabbit,eng
546,Robert M. Pirsig,Zen and the Art of Motorcycle Maintenance,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,eng
547,"H.G. Wells, Arthur C. Clarke",The War of the Worlds,The War of the Worlds,eng
548,Sara Shepard,Pretty Little Liars,"Pretty Little Liars (Pretty Little Liars, #1)",en-US
549,Don Freeman,Corduroy,Corduroy,en-US
550,Michael Pollan,The Omnivore's Dilemma,The Omnivore's Dilemma: A Natural History of Four Meals,eng
551,Kate Atkinson,Life After Life,Life After Life,eng
552,Nicholas Sparks,The Rescue,The Rescue,en-US
553,Stephen King,Needful Things,Needful Things,
554,Diana Gabaldon,Voyager,"Voyager (Outlander, #3)",eng
555,"Kenneth Branagh, William Shakespeare",,"Hamlet: Screenplay, Introduction And Film Diary",eng
556,Stephen King,Cujo,Cujo,spa
557,Jeffrey Eugenides,The Virgin Suicides,The Virgin Suicides,eng
558,Charlaine Harris,Dead to the World,"Dead to the World (Sookie Stackhouse, #4)",eng
559,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,Tess of the D'Urbervilles,eng
